Key,Value
4,클라비쿠스의 가면
66,메이룬스의 면도칼
128,몰락 발의 철퇴
190,허씬의 반지
252,생귄의 장미
314,오그마 인피니움
376,와바잭
438,나미라의 반지
500,타락의 두개골
562,아주라의 별
624,Silent %it
686,%it of the Wise
748,%it of Wildfire
810,%it of Force Bolts
872,Shining %it
934,%it of the Sealed Door
996,%it of Undeniable Access
1058,%it of Venom Antidote
1120,%it of Life Stealing
1182,%it of Wizard's Fire
1244,Leaping %it
1306,%it of Water-walking
1368,%it of Magicka
1430,Never Tiring %it
1492,%it of Featherweight
1554,"%it, the Protector"
1616,%it of Shocking
1678,Cursing %it
1740,%it of Far Silence
1802,%it of Venom Spitting
1864,Blazing %it of Fireballs
1926,Frosty %it of Ice Storms
1988,%it of Lightning
2050,Deadman's %it
2112,Healing %it
2174,%it of the Orc Lord
2236,Unrestrainable %it
2298,%it of Iron Will
2360,%it of Nimbleness
2422,Torgo's %it
2484,%it of Fortitude
2546,%it of Friendship
2608,%it of Good Luck
2670,%it of Oblivion
2732,%it of Toxic Clouds
2794,%it of Paralysis
2856,볼렌드렁
2918,워록의 반지
2980,아우리엘의 활
3042,네크로맨서의 아뮬렛
3104,크리사메어
3166,군주의 사슬갑옷
3228,마그누스의 지팡이
3290,카짓의 반지
3352,에보니 메일
3414,아우리엘의 방패
3476,스펠 브레이커
3538,스켈레톤 키
3600,에보니 블레이드
