- Text database for mod and mod settings windows.

schema: *key,text

modLoadPriority,            로드 우선순위
modTitle,                   선택됨
modDescription,             모드 설명
modVersion,                 버전
modAuthor,                  제작자
modAuthorContact,           연락처
modDFTFUVersion,            대거폴유니티 버전

emptyTitle,                 <title>
missingTitle,               <Unknown>
emptyDescription,           <description>
missingDescription,         <Missing description>
title,                      제목
description,                설명
author,                     제작자
ok,                         확인
versionMismatch,            버전이 맞지않음!

increase,                   올리기
lower,                      내리기
enableAll,                  모두 켜기
enableAllInfo,              모든 모드 활성화
disableAll,                 모두 끄기
disableAllInfo,             모든 모드 비활성
enabled,                    활성화
enabledInfo,                모드 켜고끄기
refresh,                    상태 확인
refreshInfo,                모드 폴더의 변화 확인
saveClose,                  저장후 닫기
saveCloseInfo,              변경 사항 저장후 옵션 메뉴로 돌아가기
extractText,                텍스트 추출
extractTextInfo,            텍스트 에셋 추출
extractTextConfirmation,    이 모드의 모든 텍스트 에셋을 {0}으로 추출합니다.
new,                        신규
load,                       로드
save,                       저장
delete,                     삭제
cancel,                     취소
export,                     내보내기
exportMessage,              내보내기 {0} -> {1}.
reset,                      초기화
resetConfirmation,          모든 설정을 기본값으로 초기화 합니까?
cleanConfigurationDir,      알 수 없거나 이미 삭제된 모드의 설정 파일을 발견했습니다. 삭제합니까?

backToOptions,              옵션
backToOptionsInfo,          변경사항을 저장하지 않고 옵션 메뉴로 돌아가기
modsFound,                  모드 리스트
settings,                   세팅
settingsInfo,               모드 세팅 변경
presets,                    프리셋

presetCreator,              프리셋 제작
presetNewInfo,              현재 세팅으로 새로운 프리셋을 생성
presetLoadInfo,             프리셋을 로드해 현재 세팅에 적용
presetSaveInfo,             선택한 프리셋에 현재 세팅을 저장
presetDeleteInfo,           선택한 프리셋을 삭제
presetExportInfo,           선택한 프리셋을 공유 목적으로 사용할 수 있는 파일로 내보내기
titleOrDescriptionMissing,  제목과 설명은 필수 항목입니다

dependencyErrorMessage,                 하나 혹은 이상의 모드가 정상작동하지 않을 수 있습니다:
dependencyIsMissing,                    {0} 모드 회수 불가
dependencyNotEnabled,                   {0}의 요구 모드가 활성화 되지 않았습니다
dependencyWithIncorrectPosition,        {0} 로드 순서가 위로 가야 합니다
dependencyWithIncompatibleVersion,      {0}의 버전이 {1} 이지만 {2} 혹은 더 높은 버전이 필요합니다
sortModsQuestion,                       모드 순서를 자동으로 배치합니까?
gameVersionUnsatisfied,                 대거폴 유니티 버전 {0} 혹은 이상이 필요합니다
