- Text database for game settings window.

schema: *key,text

- Tabs and section titles

gamePlay,                                           게임플레이
interface,                                          인터페이스
enhancements,                                       개선점
video,                                              비디오
accessibility,                                      접근성

game,                                               게임
controls,                                           컨트롤
audio,                                              오디오
spells,                                             마법주문
tooltips,                                           툴팁
hud,                                                HUD
gui,                                                GUI
light,                                              조명
basic,                                              기본
advanced,                                           고급
automap,                                            오토맵
dungeonmicromap,                                    던전 마이크로-맵

- Settings and tooltip descriptions

startInDungeon,                                     던전 안에서 시작
startInDungeonInfo,                                 초기 던전 안에서 새 게임을 시작합니다
smallerDungeons,                                    더 작은 던전
smallerDungeonsInfo,                                무작위 생성 던전이 하나의 내부 블럭에 4개의 경계 블럭만을 가지게 됩니다
randomDungeonTextures,                              던전 텍스쳐
randomDungeonTexturesInfo,                          던전 텍스쳐 테이블 생성에 사용할 랜덤 시드를 선택합니다
cameraRecoilStrength,                               카메라 반동 강도
cameraRecoilStrengthInfo,                           피해를 입을때 화면 흔들림의 강도를 결정합니다. 피해량에 따라 증가합니다
mouseSensitivity,                                   마우스 민감도
mouseSensitivityInfo,                               마우스 시야 민감도
weaponSensitivity,                                  무기 민감도
weaponSensitivityInfo,                              마우스 움직임으로 무기 공격을 할때의 민감도
movementAcceleration,                               이동시 가속
movementAccelerationInfo,                           이동시에 약간의 가속/감속을 추가합니다
weaponAttackThreshold,                              무기공격 임계치
weaponAttackThresholdInfo,                          무기로 공격하기 위한 최소 마우스 움직을 결정합니다
soundFont,                                          사운드폰트
soundFontInfo,                                      사운드폰트를 활성화합니다
alternateMusic,                                     대체 음악
alternateMusicInfo,                                 OPL3-최적화된 버전의 사운드트랙을 사용합니다\r(MIDI 기종 차이에 따른 약간의 음색 변화)
soundVolume,                                        사운드 볼륨
soundVolumeInfo,                                    사운드 볼륨
musicVolume,                                        음악 볼륨
musicVolumeInfo,                                    음악 볼륨
spellLighting,                                      주문 광원
spellLightingInfo,                                  마법 사용시 광원을 활성화
spellShadows,                                       주문 그림자
spellShadowsInfo,                                   마법 사용시 그림자를 활성화
instantRepairs,                                     즉각적인 수리 서비스
instantRepairsInfo,                                 장비 수리시의 대기시간을 제거하고 즉시 수리함
bowDrawback,                                        활 - 당기기 놓기
bowDrawbackInfo,                                    오른쪽 마우스 클릭시 활을 당기고 클릭을 놓으면 사격
toggleSneak,                                        은신 토글
toggleSneakInfo,                                    키를 누를때 마다 은신/비은신 상태 전환

toolTips,                                           툴팁
toolTipsInfo,                                       아이템 정보를 띄웁니다
toolTipDelayInSeconds,                              딜레이
toolTipDelayInSecondsInfo,                          툴팁 표시까지 대기시간(초)
toolTipTextColor,                                   문자 색
toolTipTextColorInfo,                               툴팁 문자의 색을 변경합니다
toolTipBackgroundColor,                             배경 색
toolTipBackgroundColorInfo,                         툴팁 배경의 색을 변경합니다
crosshair,                                          크로스헤어
crosshairInfo,                                      HUD의 크로스헤어 활성화
vitalsIndicators,                                   건강상태 증감표시
vitalsIndicatorsInfo,                               화면에 표시되는 건강상태의 증감 지시를 표시함
interactionModeIcon,                                상호작용 모드 아이콘
interactionModeIconInfo,                            상호작용 모드 아이콘의 모양 선택
arrowCounter,                                       화살 개수표시
arrowCounterInfo,                                   활을 사용할때 HUD에 남은 화살 개수를 표시
showQuestJournalClocksAsCountdown,                  저널 퀘스트 잔여기간 표시
showQuestJournalClocksAsCountdownInfo,              시작 시간을 표시하는 대신 남은 시간을 표기
inventoryInfoPanel,                                 인벤토리 정보 패널
inventoryInfoPanelInfo,                             인벤토리 정보 패널
enhancedItemLists,                                  향상된 아이템 리스트
enhancedItemListsInfo,                              인벤토리 창 표시 개수를 16개로 늘림
enableModernConversationStyleInTalkWindow,          대화창 현대적 스타일
enableModernConversationStyleInTalkWindowInfo,      대화창을 발전된 형식으로 변경
iconsPositioningScheme,                             버프 아이콘 배치방식
iconsPositioningSchemeInfo,                         화면에 표시되는 버프 혹은 디버프 아이콘의 크기 및 위치
helmAndShieldMaterialDisplay,                       투구와 방패 재질 표시
helmAndShieldMaterialDisplayInfo,                   투구와 방패의 재질을 정보 팝업과 툴팁으로 표시
geographicBackgrounds,                              지리적 배경표시
geographicBackgroundsInfo,                          캐릭터 페이퍼돌 배경을 현재 지리적 위치에 따라 변경
dungeonExitWagonPrompt,                             던전 마차 접근 메뉴표시
dungeonExitWagonPromptInfo,                         던전 출구 사용시 마차 접근 메뉴 표시(출구 5m 이내에서 마차 항시 사용가능)
travelMapLocationsOutline,                          지역 지도 외곽선 표시
travelMapLocationsOutlineInfo,                      지역 지도에 위치 표시에 외곽선을 표시해 가시성을 높입니다
guildQuestListBox,                                  길드 퀘스트 플레이어 선택
guildQuestListBoxInfo,                              현재 접근 가능한 길드 퀘스트를 리스트 형식의 박스창으로 표시합니다
bowLeftHandWithSwitching,                           활 장비시 왼손만 가능
bowLeftHandWithSwitchingInfo,                       활을 왼손으로만 장비 가능하게 해서 한손 무기 변경을 가능하게 함\r무기 변경에 약간의 대기시간
loiterLimitInHours,                                 최대 대기시간
loiterLimitInHoursInfo,                             기본 대기 시간 제한을 변경
automapTempleColor,                                 길드홀 색상
automapTempleColorInfo,                             야외 오토맵의 길드홀/사원의 색상
automapShopColor,                                   상점 색상
automapShopColorInfo,                               야외 오토맵의 상점 색상
automapTavernColor,                                 주점 색상
automapTavernColorInfo,                             야외 오토맵의 주점 색상
automapHouseColor,                                  거주지 색상
automapHouseColorInfo,                              야외 오토맵의 거주지 및 기타 색상
dungeonMicMapQoL,                                   마이크로-맵 개선점 토글
dungeonMicMapQoLInfo,                               끄기 = 기본 마이크로-맵 색상 | 켜기 = 마이크로-맵 개선 색상
dunMicMapInnerColor,                                내부 블럭 색상
dunMicMapInnerColorInfo,                            개선점 옵션 사용시 마이크로맵에 던전 내부 블록 색상
dunMicMapBorderColor,                               외각 블럭 색상
dunMicMapBorderColorInfo,                           개선점 옵션 사용시 마이크로맵에 던전 외각 블록 색상

modSystem,                                          모드 시스템
modSystemInfo,                                      모드 지원 활성화.
assetInjection,                                     에셋 인젝션
assetInjectionInfo,                                 활성화한 모드와 개별 파일로 부터 임포트한 에셋 오버라이드.
compressModdedTextures,                             모드 텍스쳐 압축
compressModdedTexturesInfo,                         모드 텍스쳐를 압축 포맷으로 임포트해 그래픽 메모리 사용량을 줄임.
gameConsole,                                        게임 콘솔
gameConsoleInfo,                                    콘솔 명령 입력을 활성화
nearDeathWarning,                                   빈사상태 경고
