Key,Value
0,루비
1,에메랄드
2,사파이어
3,다이아몬드
4,옥
5,터키옥
6,공작석
7,호박
8,Twigs
9,Green Leaves
10,Red FlowersKey,Value
0,루비
1,에메랄드
2,사파이어
3,다이아몬드
4,옥
5,터키옥
6,공작석
7,호박
8,Twigs
9,Green Leaves
10,Red Flowers
11,Yellow Flowers
12,Root Tendrils
13,Root Bulb
14,Pine Branch
15,Green Berries
16,Red Berries
17,Yellow Berries
18,Clover
19,Red Rose
20,Yellow Rose
21,Black Rose
22,White Rose
23,Red Poppy
24,Black Poppy
25,Golden Poppy
26,White Poppy
27,Ginkgo Leaves
28,Bamboo
29,Palm
30,Aloe
31,Fig
32,Cactus
33,Werewolf's Blood
34,Wereboar's Tusk
35,Fairy Dragon's Scales
36,Nymph Hair
37,Unicorn Horn
38,Wraith Essence
39,Ectoplasm
40,Ghoul's Tongue
41,Spider's Venom
42,Troll's Blood
43,Snake Venom
44,Gorgon Snake
45,Lich Dust
46,Dragon's Scales
47,Giant Scorpion Stinger
48,Small Scorpion Stinger
49,Mummy Wrappings
50,Giant's Blood
51,Basilisk's Eye
52,Gryphon's Feather
53,Daedra's Heart
54,Saint's Hair
55,Holy Relic
56,Big Tooth
57,Medium Tooth
58,Small Tooth
59,Pure Water
60,Rain Water
61,Orc's Blood
62,Elixir Vitae
63,Nectar
64,Ichor
65,Mercury
66,Tin
67,Brass
68,Lodestone
69,Sulphur
70,Lead
71,Iron
72,Copper
73,Silver
74,Gold
75,Platinum
76,Ivory
77,Pearl
78,Indulcet
79,Sursum
80,Quaesto Vil
81,Aegrotat
82,Glass Jar
83,Glass Bottle
84,Decanter
85,Clay Jar
86,Small Sack
87,Large Sack
88,Quiver
89,Backpack
90,Small Chest
91,Wine Rack
92,Large Chest
93,작은 마차
94,말
95,Rowboat
96,Large Boat
97,Small Ship
98,Large Galley
99,Deed to Townhouse
100,Deed to House
101,Deed to Manor
102,상체 갑옷
103,건틀릿
104,다리 갑옷
105,좌측 견갑
106,우측 견갑
107,투구
108,부츠
109,버클러
110,라운드 쉴드
111,카이트 쉴드
112,타워 쉴드
113,대거
114,탄토
115,스태프
116,소검
117,와카자시
118,브로드소드
119,세이버
120,롱소드
121,카타나
122,클레이모어
123,다이-카타나
124,메이스
125,플레일
126,워해머
127,배틀액스
128,워액스
129,숏보우
130,롱보우
131,화살
132,주문책
133,아뮬렛
134,브레이서
135,반지
136,브레이슬렛
137,표식
138,토크
139,천 목띠
140,마법봉
141,상체 띠
142,팔띠
143,기모노
144,고급 팔띠
145,두름천
146,이오도릭
147,신발
148,긴부츠
149,부츠
150,샌들
151,일상복 바지
152,반바지
153,짧은 치마
154,일상복 망토
155,고급 망토
156,카짓 슈트
157,두와이넨 서코트
158,짧은 튜닉
159,고급 튜닉
160,토가
161,양면 튜닉
162,샅바
163,일반 로브
