Key,Value
0,"근력[/center]근력은 무게제한, 무기피해량에 영향을 주며[/left]근력 관련 기술 습득량에 영향을 줍니다.[/left][/left]%str 의 근력은, %ark 수준입니다.[/left][/pos:x=10,y=0]%dam[/pos:x=30,y=0]수정치가 맨손/무기 피해량에 추가됩니다.[/left][/pos:x=10,y=0]%enc[/pos:x=30,y=0]킬로그램이 최대 무게제한 수치입니다.[/left][/end]"
1,"지능[/center]지능은 마법 잠재력의 총량에 영향을 주며[/left]지능 관련 기술 습득량에 영향을 줍니다.[/left][/left]%int 의 지능은, %ark 수준입니다.[/left][/pos:x=10,y=0]%spc - %spt 주문 점수를 캐스팅에 사용 가능합니다.[/left][/end]"
2,"의지[/center]의지력은 주문 효과를 저항하는데 영향을 주며[/left]의지 관련 기술의 습득량에 영향을 줍니다.[/left][/left]%wil 의 의지력은, %ark 수준입니다.[/left][/pos:x=10,y=0]+%mad[/pos:x=30,y=0]수정치가 마법 저항력에 추가됩니다.[/left][/end]"
3,"민첩[/center]민첩성은 명중률에 영향을 주며, 피격을 피하고,[/left]민첩 관련 기술의 습득량에 영향을 줍니다.[/left][/left]%agi 의 민첩은, %ark 수준입니다.[/left][/pos:x=10,y=0]%thd [/pos:x=30,y=0]수정치가 전투시 계산에 추가됩니다.[/left][/end]"
4,"체력[/center]체력은 생명력과, 지구력, 회복 속도, 독과 질병 저항력에 영향을 줍니다.[/left][/left]%end 의 체력은, %ark 수준입니다.[/left][/pos:x=10,y=0]%hea [/pos:x=30,y=0]수정치가 레벨업시 추가 생명력에 추가됩니다.[/left][/pos:x=10,y=0]%hmd [/pos:x=30,y=0]가 회복 속도에 추가됩니다.[/left][/end]"
5,"매력[/center]매력은 매력 관련 기술의 습득량에 영향을 줍니다.[/left][/left]%per 의 매력은, %ark 수준입니다.[/left][/end]"
6,"속도[/center]속도는 이동 속도, 활 재장전 속도,[/left]모든 속도 관련 기술 습득에 영향을 줍니다.[/left][/left]%spd 의 속도는, %ark 수준입니다.[/left][/end]"
7,"행운[/center]행운은 모든 행동에 있어서 강력한 변수입니다.[/left]행운이 주요 능력치인 기술은 없지만,[/left]모든 기술의 성공 확률에 영향을 줍니다.[/left][/left]%luc 의 행운은, %ark 수준입니다.[/left][/end]"
8,"훈련에 %a 골드가 필요합니다.[/center]훈련을 받으시겠습니까?[/end]"
10,"%fcn 에 하나 있다고 들었습니다.[/end]"
