Key,Value
about_internal_strings,This string table collection stores text that was hard-coded in FALL.EXE and text unique to Daggerfall Unity.
pleaseSelectYourHomeProvince,출신 지역을 선택하십시오...
saveGame,게임 저장
loadGame,게임 로드
thingJustDied,%s - 죽었습니다.
gameSaved,게임 저장됨.
gameLoaded,게임 로드됨.
thisHouseHasNothingOfValue,이 집은 아무 가치도 없습니다.
findLocationPrompt,장소 이름 입력 :
rightHandEquipped,오른손 장비됨.
leftHandEquipped,왼손 장비됨.
usingRightHand,오른손의 무기 사용.
usingLeftHand,왼손의 무기 사용.
itemHasBroken,%s - 부러졌습니다.
itemHasBrokenPlural,%s - 부서졌습니다.
cannotCarryGold,골드를 더 이상 들 수 없습니다.
cannotFloat,물에 뜨려면 더 이상 물건을 주울 수 없습니다.
youHaveNoArrows,화살이 없습니다.
oldSaveNoTrade,구버전 실내 저장파일 로드됨, 실내에서 나간 후 재입장 전까지 거래 메뉴 사용불가.
theBodyHasNoTreasure,이 시체엔 아무 보물도 없습니다.
youAreTooFarAway,너무 멉니다...
youSeeAn,봤습니다 - %s.
youSeeA,봤습니다 - %s.
youSeeADeadPerson,죽은 사람을 봤다.
youSeeADead,봤습니다 - 죽은 %s.
youCollectArrows,시체에서 화살을 뽑아냈습니다.
loiterHowManyHours,대기 시간:
restHowManyHours,휴식 시간:
potionRecipeFor,%po 포션 제작법
potionOf,%po 포션
letterPrefix,편지:
multipleAssignments,여러 임무 수행중...
youAreEntering,%s 입장
storeClosed,상점이 문을 닫음. 개점 시간 %d1:00 에서 %d2:00.
guildClosed,길드가 문을 닫음. 개방 시간 %d1:00 에서 %d2:00.
any,어떤 %s
arkayDesc,삶과 죽음의 신
zenDesc,직업과 상업의 신
maraDesc,사랑의 여신
akatoshDesc,시간의 신
julianosDesc,논리의 신
dibellaDesc,아름다움의 여신
stendarDesc,자비의 신
kynarethDesc,바람의 여신
interactionIsNowInMode,상호작용 %s 모드.
steal,절도
grab,잡기
info,정보
dialogue,대화
residence,거주지
youSee,봤습니다 - %s.
theNamedResidence,%s 거주지
playerResidence,%s 의 집
materialIneffective,사용중인 무기의 재질 때문에 효과가 없다.
successfulBackstab,백스탭 성공
languagePacified,%e, %s 기술로 비적대화 성공.
lockpickingSuccess,잠금장치가 철컥 소리를 내며 풀렸다.
lockpickingFailure,잠금이 풀리지 않았다.
magicLock,마법적 방법으로 잠겨있다...
lockpickChance1,이 잠금 장치는 열기 힘들다...
lockpickChance2,이 잠금 장치를 열 가망이 없다...
lockpickChance3,이 잠금 장치 수준이 너무 높다...
buildingNames,"아카토쉬의 사원
아케이의 사원
디벨라의 사원
줄리아노스의 사원
키나레스의 사원
마라의 사원
스텐다르의 사원
젠의 사원
까마귀 기사단
용 기사단
부엉이 기사단
촛불 기사단
화염 기사단
뿔의 주인
장미 기사단
바퀴 기사단
딱정벌레 기사단
매 기사단
메이지 길드
파이터 길드
주점
도서관
무기 대장장이
갑옷 대장장이
연금술사
은행
서점
의류점
보석상
전당포"
lockpickChance,"You doubt your ability to open this lock...
This lock looks difficult...
You would be challenged by this lock...
This lock would prove a good challenge...
You think you should be able to pick this lock...
This lock seems relatively easy...
You are amused by this lock...
You laugh at the amateur quality of this lock...
You see a pathetic excuse for a lock...
This lock is an insult to your abilities..."
youPinchedGoldPiece,You pinched 1 gold piece.
youPinchedGoldPieces,You pinched %d gold pieces.
youAreNotSuccessful,실패했습니다...
daysUntilFreedom,석방까지 %d 일.
skillImprove,%s 기술이 향상되었습니다.
mustDistributeBonusPoints,보너스 점수를 모두 분배해야 합니다.
enterNewName,새로운 이름 입력 : 
affiliation,소속
rank,등급
serviceQuests,퀘스트 받기
serviceSell,판매
serviceBanking,은행업무
serviceIdentify,식별
serviceBuySpells,주문 구입
serviceTraining,훈련
serviceTeleport,텔레포트
serviceMakeSpells,주문 제작
serviceBuyMagicItems,마법 물품 구입
serviceSellMagicItems,마법 물품 판매
serviceDaedraSummon,데이드라 소환
serviceMakeMagicItems,마법 물품 제작
serviceRepairs,수리
serviceDonate,기부
serviceCure,질병 치료
serviceSpymaster,첩보장
serviceMakePotions,포션 제작
serviceBuyPotions,포션 구입
serviceBuySoulgems,소울젬 구입
serviceReceiveArmor,Receive Armor
serviceReceiveHouse,Receive House
serviceReceiveHouseAlready,You have already received your house.
accessMembersOnly,You need to be a member of sufficient rank to access this.
serviceCured,You are cured.
serviceSummonCost1,"%pcn, the cost for me to attempt a"
serviceSummonCost2,summoning of %dae is 
serviceSummonCost3, gold.
roomFreeForKnightSuchAsYou,The room is free for a knight such as you.
roomFreeDueToHeartsDay,Room is free due to Heart's Day.
youAreNotHungry,You are not hungry.
exhaustedInWater,Fatigue overcomes you and sends you to a watery grave....
youFeelSomewhatBad,You feel somewhat bad.
avoidDeath,"By the mercy of Stendarr, you survive certain death!"
pronounHe,he
pronounShe,she
pronounHim,him
pronounHer,her
pronounHis,his
pronounHers,hers
pronounHimself,himself
pronounHerself,herself
city,city
village,village
hamlet,hamlet
farm,farm
shack,shack
manor,manor
community,community
shrine,shrine
King,King
Queen,Queen
Duke,Duke
Duchess,Duchess
Marquis,Marquis
Marquise,Marquise
Count,Count
Countess,Countess
Baron,Baron
Baroness,Baroness
Lord,Lord
Lady,Lady
revered,revered
esteemed,esteemed
honored,honored
admired,admired
respected,respected
dependable,dependable
aCommonCitizen,a common citizen
hated,hated
pondScum,pond scum
aVillain,a villain
aCriminal,a criminal
aScoundrel,a scoundrel
undependable,undependable
unknown,unknown
Broken,부서짐
Useless,쓸모없음
Battered,닳아빠진
Worn,낡은
Used,꽤 사용한
SlightlyUsed,약간 사용한
AlmostNew,거의 새것
New,새것
Nothing,Nothing
local,local
tavern,tavern
Attempted_Breaking_And_Entering,무단 침입 시도
Trespassing,무단 출입
Breaking_And_Entering,Breaking and Entering
Assault,상해
Murder,살인
Tax_Evasion,탈세
Criminal_Conspiracy,범죄 모의
Vagrancy,노숙
Smuggling,밀수
Piracy,해적행위
High_Treason,역모
Pickpocketing,소매치기
Theft,절도
Treason,반역
Loan_Default,Loan Default
Regular_Punishment_String,벌금 %gtp 골드, 징역 %dip 일
Banishment,추방
Execution,사형
cannotChangeTransportationIndoors,실내에서 이동 수단을 바꿀 수 없습니다.
cannotTravelWithEnemiesNearby,적이 가까울 때는 여행할 수 없습니다.
cannotTravelIndoors,실내에서는 여행할 수 없습니다.
powersUnknown,Powers unknown.
itemPowers,"사용할때 마법:
손에들때 마법:
공격할때 마법:
추가 주문 점수
상대에 강함
생명력 재생
흡혈 효과
무게 제한 증가
물품 수리
주문 흡수
기술 향상
물품 무게 감소
방어력 강화
특성 향상
상대에 좋은평판
영혼 속박
물품 내구감소
사용자 피해
시각 문제
보행 문제
상대에 약함
생명력 피해
상대에 나쁜반응
물품 무게 증가
방어력 약화
상대에 나쁜평판"
enemyNames,"Rat
Imp
Spriggan
Giant Bat
Grizzly Bear
Sabretooth Tiger
Spider
Orc
Centaur
Werewolf
Nymph
Slaughterfish
Orc Sergeant
Harpy
Wereboar
Skeletal Warrior
Giant
Zombie
Ghost
Mummy
Giant Scorpion
Orc Shaman
Gargoyle
Wraith
Orc Warlord
Frost Daedra
Fire Daedra
Daedroth
Vampire
Daedra Seducer
Ancient Vampire
Daedra Lord
Lich
Ancient Lich
Dragonling
Fire Atronach
Iron Atronach
Flesh Atronach
Ice Atronach
Horse
Dragonling
Dreugh
Lamia
Mage
Spellsword
Battlemage
Sorcerer
Healer
Nightblade
Bard
Burglar
Rogue
Acrobat
Thief
Assassin
Monk
Archer
Ranger
Barbarian
Warrior
Knight
City Watch"
extraSpellPtsTimes,"겨울동안
봄동안
여름동안
가을동안
보름달동안
반달동안
초승달동안
언데드 근처
데이드라 근처
인간형 근처
동물 근처"
regensHealthTimes,"항상
태양빛 아래
어둠 속"
vampiricEffectRanges,"원거리
공격 시"
increasedWeightAllowances,"25% 추가
50% 추가"
improvedTalents,"청력
운동능력
아드레날린 러시"
itemDeteriorateLocations,"항상
태양빛 아래
성스러운 장소"
userTakesDamageLocations,"태양빛 아래
성스러운 장소"
enemyGroupNames,"언데드
데이드라
인간형
동물"
healthLeechStopConditions,"사용할때마다
매일 사용하지 않을시
매주 사용하지 않을시"
badReactionFromEnemyGroups,"인간형
동물
데이드라"
repWithGroups,"평민
상인
학자
귀족
범죄자
모두"
youReceiveGoldPieces,%s 골드를 받았습니다.
bankPurchasePrice,가격 : %s 골드
youHaveRentedRoom,%s 숙박 기간이 %d 시간 남았습니다.
haveNotRentedRoom,이곳에 방을 잡지 않았습니다.
expiredRentedRoom,숙박 기간이 끝났습니다.
tavernAle,Ale (1 gold)
tavernBeer,Beer (1 gold)
tavernMead,Mead (2 gold)
tavernWine,Wine (3 gold)
tavernBread,Bread (1 gold)
tavernBroth,Broth (1 gold)
tavernCheese,Cheese (2 gold)
tavernFowl,Fowl (3 gold)
tavernGruel,Gruel (2 gold)
tavernPie,Pie (2 gold)
tavernStew,Stew (3 gold)
pressButtonToFireSpell,사용 버튼을 눌러 주문 사용.
climbingMode,등반 모드.
rappelMode,레펠 모드.
hangingMode,Hanging Mode
acuteHearing,Acute Hearing
adrenalineRush,아드레날린 러시
athleticism,운동능력
bonusToHit,Bonus to hit
expertiseIn,Expertise in
immunity,Immunity
increasedMagery,주문점수 증가
rapidHealing,고속 회복
regenerateHealth,생명력 재생
resistance,저항
spellAbsorption,주문 흡수
animals,동물
daedra,데이드라
humanoid,인간형
undead,언데드
axe,도끼
bluntWeapon,둔기
handToHand,Hand-to-Hand
longBlade,장검
missileWeapon,Missile Weapon
shortBlade,소검
toDisease,To Disease
toFire,To Fire
toFrost,To Frost
toMagic,To Magic
toParalysis,To Paralysis
toPoison,To Poison
toShock,To Shock
intInSpellPoints15,주문 점수=1.5X지능
intInSpellPoints175,주문 점수=1.75X지능
intInSpellPoints2,주문 점수=2X지능
intInSpellPoints3,주문 점수=3X지능
intInSpellPoints,주문 점수=지능
general,일반
inDarkness,어두운 곳에서
inLight,밝은 곳에서
whileImmersed,수면 아래서
criticalWeakness,Critical Weakness
damage,Damage
darknessPoweredMagery,Darkness-Powered Magery
forbiddenArmorType,Forbidden Armor Type
forbiddenMaterial,Forbidden Material
forbiddenShieldTypes,Forbidden Shield Types
forbiddenWeaponry,Forbidden Weaponry
inabilityToRegen,Inability To Regen Spell Points
lightPoweredMagery,Light-Powered Magery
lowTolerance,Low Tolerance
phobia,Phobia
fromHolyPlaces,From Holy Places
fromSunlight,From Sunlight
lowerMagicAbilityDaylight,Lower Magic Ability In Daylight
unableToUseMagicInDaylight,Unable To Use Magic In Daylight
chain,체인
leather,가죽
plate,Plate
adamantium,아다만티움
daedric,데이드릭
dwarven,드워븐
ebony,에보니
elven,엘븐
iron,철
mithril,미스릴
orcish,오키쉬
silver,실버
steel,강철
buckler,Buckler
kiteShield,Kite Shield
roundShield,Round Shield
towerShield,Tower Shield
lowerMagicAbilityDarkness,Lower Magic Ability In Darkness
unableToUseMagicInDarkness,Unable To Use Magic In Darkness
helpAttributes,Attributes
helpClassName,Class Name
helpGeneral,General
helpReputations,Reputations
helpSkillAdvancement,Skill Advancement
helpSkills,Skills
helpSpecialAdvantages,Special Advantages
helpSpecialDisadvantages,Special Disadvantages
lower,Lower
higher,Higher
unchanged,Unchanged
elsweyr,Elsweyr
blackMarsh,Black Marsh
hammerfell,Hammerfell
highRock,High Rock
morrowind,Morrowind
skyrim,Skyrim
sumurset,Sumurset
valenwood,Valenwood
rollingHills,rolling hills
desertLand,desertland
mountains,mountains
swamps,swamps
forests,forests
shores,shores
medical,Medical
etiquette,Etiquette
streetwise,Streetwise
jumping,Jumping
harpy,Harpy
giantish,Giantish
dragonish,Dragonish
nymph,Nymph
aedric,Daedric
spriggan,Spriggan
centaurian,Centaurian
impish,Impish
lockpicking,Lockpicking
mercantile,Mercantile
pickpocket,Pickpocket
stealth,Stealth
swimming,Swimming
climbing,Climbing
backstabbing,Backstabbing
dodging,Dodging
running,Running
destruction,Destruction
restoration,Restoration
illusion,Illusion
alteration,Alteration
thaumaturgy,Thaumaturgy
mysticism,Mysticism
archery,Archery
criticalStrike,Critical Strike
strength,Strength
intelligence,Intelligence
willpower,Willpower
agility,Agility
endurance,Endurance
personality,Personality
speed,Speed
luck,Luck
STR,STR
INT,INT
WIL,WIL
AGI,AGI
END,END
PER,PER
SPD,SPD
LUC,LUC
breton,Breton
redguard,Redguard
darkElf,Dark Elf
highElf,High Elf
woodElf,Wood Elf
khajiit,Khajiit
argonian,Argonian
vampire,Vampire
werewolf,Werewolf
wereboar,Wereboar
vraseth,Vraseth
haarvenu,Haarvenu
thrafey,Thrafey
lyrezi,Lyrezi
montalion,Montalion
khulari,Khulari
garlythi,Garlythi
anthotis,Anthotis
selenu,Selenu
lockedExteriorDoor,Locked.
canOnlyCastOncePerDay,Can only be cast once per day...
youNeedToHuntTheInnocent,You feel the need to hunt the innocent...
youDreamOfTheMoon,"You dream, once again, of the moon..."
inventoryWhileShapechanged,You cannot access the inventory while shapechanged...
youGetNoResponse,You get no response.
copyLogbookInfo,Left-click: toggle copy of selected text. Right-click: copy whole current conversation.
east,east
northeast,northeast
north,north
northwest,northwest
west,west
southwest,southwest
south,south
southeast,southeast
thisPlace,this place
AnyNews,Any news?
WhereAmI,Where am I?
AnswerTextWhereAmI,You are in {0} in {1}.
YouAreInSameBuilding,You have found {0}. You are in it.
NpcInSameBuilding,{0} is around here in {1}.
PreviousList,Previous List
General,General
Regional,Regional
Alchemists,Alchemists
Armorers,Armorers
Banks,Banks
Bookstores,Bookstores
Clothingstores,Clothing stores
Gemstores,Gem stores
Generalstores,General stores
Guilds,Guilds
Libraries,Libraries
Pawnshops,Pawn shops
Taverns,Taverns
Weaponsmiths,Weapon smiths
Localtemples,Local temples
Sir,Sir
Ma'am,Ma'am
oldLeaderFate0,심장 마비로 사망했습니다.
oldLeaderFate1,떨어져서 머리를 부딪혔습니다.
oldLeaderFate2,질병으로 사망했습니다.
oldLeaderFate3,압력으로 사임했습니다.
oldLeaderFate4,강판되었습니다.
oldLeaderFate5,침대에서 암살당한채로 발견되었습니다.
toBeReplacedStringRegional,Any
replacementStringRegional,any
comma,",  "
resolvingError,...never mind...
chameleon,카멜레온
charm,매료
comprehendLanguages,언어 이해
continuousDamage,지속 피해
createItem,물품 생성
cure,치료
detect,탐지
disintegrate,분해
dispel,디스펠
drain,감쇄
elementalResistance,원소 저항
fortifyAttribute,능력치 증가
freeAction,프리 액션
heal,회복
identify,식별
invisibility,투명화
levitate,공중부양
light,조명
lock,잠금
morphSelf,Morph Self
open,잠금해제
pacify,진정화
paralyze,마비
regenerate,재생
shadow,쉐도우
shield,쉴드
silence,침묵
slowfall,낙하감속
soulTrap,소울 트랩
spellReflection,주문 반사
