- Text database for Daggerfall Unity main menu and setup wizard.

schema: *key,text

resolution,                 해상도
fullscreen,                 풀스크린
quality,                    퀼리티
play,                       플레이
mods,                       모드
advanced,                   고급설정
restart,                    재시작
restartInfo,                초기 설정 부터 재시작
exit,                       종료
modNote,                    알림: 모드 활성화로 인해 성능 요구사항이 증가할 수 있습니다.
settingsFolder,             설정 파일 폴더
settingsFolderInfo,         더블-클릭시 폴더로 이동

alwayShowOptions,           이 화면 항상 띄우기
alwayShowOptionsInfo,       이 화면을 시작시에 항상 띄웁니다\r이 옵션을 끌 경우 settings.ini 로 설정을 변경하십시오.
vsync,                      수직 동기화
vsyncInfo,                  FPS를 모니터의 갱신율에 맞춥니다
swapHealthAndFatigue,       체력 지구력 교체
swapHealthAndFatigueInfo,   HUD의 체력과 지구력 바의 색을 서로 바꿉니다.
invertMouseVertical,        마우스 반전
invertMouseVerticalInfo,    마우스 수직 방향을 반전합니다
mouseSmoothing,             마우스 시야 스무딩
mouseSmoothingInfo,         시야 이동을 부드럽게 합니다.
leftHandWeapons,            왼손 무기
leftHandWeaponsInfo,        무기를 화면의 왼쪽에 표시합니다
playerNudity,               플레이어 누드
playerNudityInfo,           페이퍼돌의 성기 노출을 허용합니다.
weaponSwingMode,            무기 공격 모드
weaponSwingModeInfo,        클릭 혹은 누르고 유지 방식으로 공격 방식을 바꿉니다
sdfFontRendering,           SDF 폰트 렌더링
sdfFontRenderingInfo,       고해상도 유려 폰트를 활성화\r(비활성화시 한글출력이 되지 않습니다)
enableController,           컨트롤러 활성화
enableControllerInfo,       조이스틱 혹은 다른 컨트롤러를 탐지하고 게임에서 사용할 수 있게 활성화 합니다

findArena2Tip,              팁 : 대거폴은 arena2 라는 폴더를 포함하고 있습니다.
foundArena2But,             arena2' 폴더를 찾았지만
missingTextures,            텍스쳐 파일 한개 혹은 그 이상이 없습니다
missingModels,              ARCH3D.BSA 파일이 없습니다
missingBlocks,              BLOCKS.BSA 파일이 없습니다
missingMaps,                MAPS.BSA 파일이 없습니다
missingSounds,              DAGGER.SND 파일이 없습니다
missingWoods,               WOODS.WLD 파일이 없습니다
missingVideos,              하나 혹은 그 이상의 .VID 파일이 없습니다
justNotValid,               정상적인 폴더가 아닌 것 같습니다
pathValidated,              훌륭합니다! 정상적인 대거폴 폴더로 보입니다 :)
testText,                   테스트
okText,                     확인
keepSetting,                이 설정을 유지합니까? 8초 후에 원상복구 됩니다.
incompatibleMods,           하나 혹은 그 이상의 모드가 현재 게임 버전과 호환되지 않습니다.\r모드 메뉴에서 자세히 확인해 보십시오. 그래도 계속 합니까?
showOptionsAgain,           런처를 다시 나오게 하려면 쉬프트키를 누르고 대거폴 유니티를 실행하십시오
